Region,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,CoreText - PDF Viewed (Goal 1 Conversion Rate),CoreText - PDF Viewed (Goal 1 Completions),CoreText - PDF Viewed (Goal 1 Value)
California,"Jan 1, 2023 - Jun 30, 2023",All Users,1886,1824,3357,0.09%,6.87,00:03:25,0.03%,1,$0.00
California,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,75,42,313,0.00%,19.82,00:15:53,0.00%,0,$0.00
California,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1844,1782,3044,0.10%,5.53,00:02:08,0.03%,1,$0.00
Virginia,"Jan 1, 2023 - Jun 30, 2023",All Users,899,870,1052,0.10%,3.97,00:01:01,0.00%,0,$0.00
Virginia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,15,13,20,0.00%,10.15,00:09:04,0.00%,0,$0.00
Virginia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,887,857,1032,0.10%,3.85,00:00:51,0.00%,0,$0.00
New York,"Jan 1, 2023 - Jun 30, 2023",All Users,665,641,806,0.25%,4.33,00:01:16,0.00%,0,$0.00
New York,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,2,3,0.00%,4,00:00:01,0.00%,0,$0.00
New York,"Jan 1, 2023 - Jun 30, 2023",Without /es/,663,639,803,0.25%,4.33,00:01:17,0.00%,0,$0.00
Texas,"Jan 1, 2023 - Jun 30, 2023",All Users,594,571,693,0.00%,4.71,00:01:17,0.00%,0,$0.00
Texas,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,7,6,7,0.00%,3.86,00:00:07,0.00%,0,$0.00
Texas,"Jan 1, 2023 - Jun 30, 2023",Without /es/,588,565,686,0.00%,4.72,00:01:17,0.00%,0,$0.00
New Jersey,"Jan 1, 2023 - Jun 30, 2023",All Users,545,542,601,0.00%,5.46,00:00:59,0.00%,0,$0.00
New Jersey,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,11,9,11,0.00%,27.55,00:05:53,0.00%,0,$0.00
New Jersey,"Jan 1, 2023 - Jun 30, 2023",Without /es/,536,533,590,0.00%,5.05,00:00:54,0.00%,0,$0.00
Ohio,"Jan 1, 2023 - Jun 30, 2023",All Users,544,522,643,0.00%,9.16,00:01:11,0.00%,0,$0.00
Ohio,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,5,2,11,0.00%,17.36,00:05:59,0.00%,0,$0.00
Ohio,"Jan 1, 2023 - Jun 30, 2023",Without /es/,543,520,632,0.00%,9.01,00:01:06,0.00%,0,$0.00
(not set),"Jan 1, 2023 - Jun 30, 2023",All Users,428,427,432,1.62%,2.96,00:00:09,0.00%,0,$0.00
(not set),"Jan 1, 2023 - Jun 30, 2023",Spanish Website,11,11,11,0.00%,3,00:00:02,0.00%,0,$0.00
(not set),"Jan 1, 2023 - Jun 30, 2023",Without /es/,417,416,421,1.66%,2.96,00:00:09,0.00%,0,$0.00
Massachusetts,"Jan 1, 2023 - Jun 30, 2023",All Users,404,391,514,0.19%,5.5,00:01:30,0.00%,0,$0.00
Massachusetts,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,6,3,7,0.00%,45,00:18:15,0.00%,0,$0.00
Massachusetts,"Jan 1, 2023 - Jun 30, 2023",Without /es/,402,388,507,0.20%,4.95,00:01:17,0.00%,0,$0.00
Florida,"Jan 1, 2023 - Jun 30, 2023",All Users,381,356,494,0.20%,4.57,00:01:37,0.00%,0,$0.00
Florida,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,10,8,52,0.00%,9.23,00:04:55,0.00%,0,$0.00
Florida,"Jan 1, 2023 - Jun 30, 2023",Without /es/,377,348,442,0.23%,4.03,00:01:14,0.00%,0,$0.00
Washington,"Jan 1, 2023 - Jun 30, 2023",All Users,349,314,410,0.00%,4.95,00:01:06,0.00%,0,$0.00
Washington,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,12,9,15,0.00%,10.07,00:03:34,0.00%,0,$0.00
Washington,"Jan 1, 2023 - Jun 30, 2023",Without /es/,339,305,395,0.00%,4.76,00:01:00,0.00%,0,$0.00
Georgia,"Jan 1, 2023 - Jun 30, 2023",All Users,339,326,418,0.00%,4.12,00:01:11,0.00%,0,$0.00
Georgia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00
Georgia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,338,325,417,0.00%,4.12,00:01:11,0.00%,0,$0.00
Pennsylvania,"Jan 1, 2023 - Jun 30, 2023",All Users,293,282,337,0.00%,4.06,00:01:20,0.00%,0,$0.00
Pennsylvania,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,0,3,0.00%,11,00:07:58,0.00%,0,$0.00
Pennsylvania,"Jan 1, 2023 - Jun 30, 2023",Without /es/,292,282,334,0.00%,3.99,00:01:16,0.00%,0,$0.00
Illinois,"Jan 1, 2023 - Jun 30, 2023",All Users,283,270,332,0.30%,4.42,00:01:12,0.00%,0,$0.00
Illinois,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Illinois,"Jan 1, 2023 - Jun 30, 2023",Without /es/,283,270,332,0.30%,4.42,00:01:12,0.00%,0,$0.00
North Carolina,"Jan 1, 2023 - Jun 30, 2023",All Users,278,264,340,0.00%,4.26,00:01:15,0.00%,0,$0.00
North Carolina,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,7,5,7,0.00%,15.86,00:08:29,0.00%,0,$0.00
North Carolina,"Jan 1, 2023 - Jun 30, 2023",Without /es/,274,259,333,0.00%,4.01,00:01:05,0.00%,0,$0.00
Michigan,"Jan 1, 2023 - Jun 30, 2023",All Users,264,245,307,0.33%,4.19,00:00:52,0.00%,0,$0.00
Michigan,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,18,00:00:55,0.00%,0,$0.00
Michigan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,263,244,306,0.33%,4.15,00:00:52,0.00%,0,$0.00
Oregon,"Jan 1, 2023 - Jun 30, 2023",All Users,199,184,226,0.00%,5.27,00:01:18,0.00%,0,$0.00
Oregon,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,14,11,16,0.00%,17.81,00:09:31,0.00%,0,$0.00
Oregon,"Jan 1, 2023 - Jun 30, 2023",Without /es/,186,173,210,0.00%,4.32,00:00:41,0.00%,0,$0.00
Indiana,"Jan 1, 2023 - Jun 30, 2023",All Users,173,160,211,0.47%,3.45,00:00:51,0.00%,0,$0.00
Indiana,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Indiana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,173,160,211,0.47%,3.45,00:00:51,0.00%,0,$0.00
Maryland,"Jan 1, 2023 - Jun 30, 2023",All Users,162,158,228,0.00%,5.33,00:01:24,0.00%,0,$0.00
Maryland,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Maryland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,162,158,228,0.00%,5.33,00:01:24,0.00%,0,$0.00
Tennessee,"Jan 1, 2023 - Jun 30, 2023",All Users,137,124,187,0.00%,4.48,00:00:59,0.00%,0,$0.00
Tennessee,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Tennessee,"Jan 1, 2023 - Jun 30, 2023",Without /es/,137,124,187,0.00%,4.48,00:00:59,0.00%,0,$0.00
Alabama,"Jan 1, 2023 - Jun 30, 2023",All Users,132,126,207,0.00%,6.36,00:02:24,0.00%,0,$0.00
Alabama,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,1,4,0.00%,15,00:04:25,0.00%,0,$0.00
Alabama,"Jan 1, 2023 - Jun 30, 2023",Without /es/,131,125,203,0.00%,6.19,00:02:21,0.00%,0,$0.00
Colorado,"Jan 1, 2023 - Jun 30, 2023",All Users,132,129,151,0.00%,3.87,00:01:05,0.00%,0,$0.00
Colorado,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00
Colorado,"Jan 1, 2023 - Jun 30, 2023",Without /es/,131,128,150,0.00%,3.88,00:01:05,0.00%,0,$0.00
Iowa,"Jan 1, 2023 - Jun 30, 2023",All Users,132,126,139,0.00%,3.47,00:00:22,0.00%,0,$0.00
Iowa,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,4,4,4,0.00%,3,00:00:01,0.00%,0,$0.00
Iowa,"Jan 1, 2023 - Jun 30, 2023",Without /es/,128,122,135,0.00%,3.49,00:00:23,0.00%,0,$0.00
Arizona,"Jan 1, 2023 - Jun 30, 2023",All Users,130,125,208,0.00%,9.93,00:03:52,0.00%,0,$0.00
Arizona,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,3,2,13,0.00%,76,00:20:28,0.00%,0,$0.00
Arizona,"Jan 1, 2023 - Jun 30, 2023",Without /es/,130,123,195,0.00%,5.52,00:02:46,0.00%,0,$0.00
Connecticut,"Jan 1, 2023 - Jun 30, 2023",All Users,126,118,157,0.64%,4.44,00:01:37,0.00%,0,$0.00
Connecticut,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00
Connecticut,"Jan 1, 2023 - Jun 30, 2023",Without /es/,125,117,156,0.64%,4.45,00:01:37,0.00%,0,$0.00
Minnesota,"Jan 1, 2023 - Jun 30, 2023",All Users,111,105,147,0.00%,3.61,00:00:47,0.00%,0,$0.00
Minnesota,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Minnesota,"Jan 1, 2023 - Jun 30, 2023",Without /es/,111,105,147,0.00%,3.61,00:00:47,0.00%,0,$0.00
Wisconsin,"Jan 1, 2023 - Jun 30, 2023",All Users,111,106,121,0.00%,4.03,00:00:59,0.00%,0,$0.00
Wisconsin,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,2,2,0.00%,7.5,00:00:16,0.00%,0,$0.00
Wisconsin,"Jan 1, 2023 - Jun 30, 2023",Without /es/,110,104,119,0.00%,3.97,00:01:00,0.00%,0,$0.00
Missouri,"Jan 1, 2023 - Jun 30, 2023",All Users,105,99,139,0.00%,6.82,00:03:16,0.00%,0,$0.00
Missouri,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,6,3,12,0.00%,20.83,00:14:06,0.00%,0,$0.00
Missouri,"Jan 1, 2023 - Jun 30, 2023",Without /es/,102,96,127,0.00%,5.5,00:02:14,0.00%,0,$0.00
South Carolina,"Jan 1, 2023 - Jun 30, 2023",All Users,98,90,105,0.00%,3.64,00:00:33,0.00%,0,$0.00
South Carolina,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,9,00:01:23,0.00%,0,$0.00
South Carolina,"Jan 1, 2023 - Jun 30, 2023",Without /es/,97,89,104,0.00%,3.59,00:00:32,0.00%,0,$0.00
Oklahoma,"Jan 1, 2023 - Jun 30, 2023",All Users,97,94,102,0.98%,3.41,00:00:41,0.00%,0,$0.00
Oklahoma,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Oklahoma,"Jan 1, 2023 - Jun 30, 2023",Without /es/,97,94,102,0.98%,3.41,00:00:41,0.00%,0,$0.00
Nevada,"Jan 1, 2023 - Jun 30, 2023",All Users,95,83,102,0.00%,4.25,00:00:42,0.00%,0,$0.00
Nevada,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,1,2,0.00%,7.5,00:00:42,0.00%,0,$0.00
Nevada,"Jan 1, 2023 - Jun 30, 2023",Without /es/,93,82,100,0.00%,4.18,00:00:42,0.00%,0,$0.00
Kentucky,"Jan 1, 2023 - Jun 30, 2023",All Users,69,61,73,1.37%,4.25,00:00:50,0.00%,0,$0.00
Kentucky,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Kentucky,"Jan 1, 2023 - Jun 30, 2023",Without /es/,69,61,73,1.37%,4.25,00:00:50,0.00%,0,$0.00
Utah,"Jan 1, 2023 - Jun 30, 2023",All Users,66,63,75,0.00%,3.55,00:00:34,0.00%,0,$0.00
Utah,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Utah,"Jan 1, 2023 - Jun 30, 2023",Without /es/,66,63,75,0.00%,3.55,00:00:34,0.00%,0,$0.00
Arkansas,"Jan 1, 2023 - Jun 30, 2023",All Users,54,49,62,0.00%,3.58,00:00:29,0.00%,0,$0.00
Arkansas,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00
Arkansas,"Jan 1, 2023 - Jun 30, 2023",Without /es/,53,48,61,0.00%,3.59,00:00:29,0.00%,0,$0.00
Louisiana,"Jan 1, 2023 - Jun 30, 2023",All Users,53,51,60,0.00%,4.15,00:00:50,0.00%,0,$0.00
Louisiana,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Louisiana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,53,51,60,0.00%,4.15,00:00:50,0.00%,0,$0.00
Kansas,"Jan 1, 2023 - Jun 30, 2023",All Users,52,48,53,0.00%,3.51,00:00:04,0.00%,0,$0.00
Kansas,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,21,00:02:27,0.00%,0,$0.00
Kansas,"Jan 1, 2023 - Jun 30, 2023",Without /es/,51,47,52,0.00%,3.17,00:00:01,0.00%,0,$0.00
District of Columbia,"Jan 1, 2023 - Jun 30, 2023",All Users,48,43,54,0.00%,6.69,00:01:38,0.00%,0,$0.00
District of Columbia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00
District of Columbia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47,42,53,0.00%,6.75,00:01:39,0.00%,0,$0.00
Montana,"Jan 1, 2023 - Jun 30, 2023",All Users,47,44,49,0.00%,3.61,00:01:19,0.00%,0,$0.00
Montana,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Montana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47,44,49,0.00%,3.61,00:01:19,0.00%,0,$0.00
West Virginia,"Jan 1, 2023 - Jun 30, 2023",All Users,47,43,48,0.00%,5.06,00:01:22,0.00%,0,$0.00
West Virginia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
West Virginia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47,43,48,0.00%,5.06,00:01:22,0.00%,0,$0.00
Wyoming,"Jan 1, 2023 - Jun 30, 2023",All Users,47,47,49,0.00%,3.59,00:00:19,0.00%,0,$0.00
Wyoming,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Wyoming,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47,47,49,0.00%,3.59,00:00:19,0.00%,0,$0.00
Idaho,"Jan 1, 2023 - Jun 30, 2023",All Users,45,38,45,0.00%,4.11,00:01:37,0.00%,0,$0.00
Idaho,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,1,2,0.00%,4.5,00:00:02,0.00%,0,$0.00
Idaho,"Jan 1, 2023 - Jun 30, 2023",Without /es/,43,37,43,0.00%,4.09,00:01:41,0.00%,0,$0.00
New Hampshire,"Jan 1, 2023 - Jun 30, 2023",All Users,38,37,38,0.00%,3.68,00:00:34,0.00%,0,$0.00
New Hampshire,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
New Hampshire,"Jan 1, 2023 - Jun 30, 2023",Without /es/,38,37,38,0.00%,3.68,00:00:34,0.00%,0,$0.00
Rhode Island,"Jan 1, 2023 - Jun 30, 2023",All Users,36,35,43,0.00%,4.88,00:00:53,0.00%,0,$0.00
Rhode Island,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Rhode Island,"Jan 1, 2023 - Jun 30, 2023",Without /es/,36,35,43,0.00%,4.88,00:00:53,0.00%,0,$0.00
Maine,"Jan 1, 2023 - Jun 30, 2023",All Users,35,31,38,0.00%,3.71,00:00:28,0.00%,0,$0.00
Maine,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Maine,"Jan 1, 2023 - Jun 30, 2023",Without /es/,35,31,38,0.00%,3.71,00:00:28,0.00%,0,$0.00
Mississippi,"Jan 1, 2023 - Jun 30, 2023",All Users,31,26,32,0.00%,4.38,00:00:56,0.00%,0,$0.00
Mississippi,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Mississippi,"Jan 1, 2023 - Jun 30, 2023",Without /es/,31,26,32,0.00%,4.38,00:00:56,0.00%,0,$0.00
New Mexico,"Jan 1, 2023 - Jun 30, 2023",All Users,31,31,54,0.00%,5.39,00:01:11,0.00%,0,$0.00
New Mexico,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,0,1,0.00%,9,00:09:35,0.00%,0,$0.00
New Mexico,"Jan 1, 2023 - Jun 30, 2023",Without /es/,31,31,53,0.00%,5.32,00:01:02,0.00%,0,$0.00
Nebraska,"Jan 1, 2023 - Jun 30, 2023",All Users,29,28,35,0.00%,4,00:01:20,0.00%,0,$0.00
Nebraska,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Nebraska,"Jan 1, 2023 - Jun 30, 2023",Without /es/,29,28,35,0.00%,4,00:01:20,0.00%,0,$0.00
Vermont,"Jan 1, 2023 - Jun 30, 2023",All Users,27,27,28,0.00%,4.18,00:00:45,0.00%,0,$0.00
Vermont,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Vermont,"Jan 1, 2023 - Jun 30, 2023",Without /es/,27,27,28,0.00%,4.18,00:00:45,0.00%,0,$0.00
Hawaii,"Jan 1, 2023 - Jun 30, 2023",All Users,23,23,25,0.00%,3.36,00:00:06,0.00%,0,$0.00
Hawaii,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,12,00:02:01,0.00%,0,$0.00
Hawaii,"Jan 1, 2023 - Jun 30, 2023",Without /es/,22,22,24,0.00%,3,00:00:02,0.00%,0,$0.00
South Dakota,"Jan 1, 2023 - Jun 30, 2023",All Users,23,23,23,0.00%,3.52,00:00:22,0.00%,0,$0.00
South Dakota,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,6,00:07:26,0.00%,0,$0.00
South Dakota,"Jan 1, 2023 - Jun 30, 2023",Without /es/,22,22,22,0.00%,3.41,00:00:02,0.00%,0,$0.00
Delaware,"Jan 1, 2023 - Jun 30, 2023",All Users,16,16,18,0.00%,3.33,00:02:19,0.00%,0,$0.00
Delaware,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Delaware,"Jan 1, 2023 - Jun 30, 2023",Without /es/,16,16,18,0.00%,3.33,00:02:19,0.00%,0,$0.00
North Dakota,"Jan 1, 2023 - Jun 30, 2023",All Users,7,7,7,0.00%,3.86,00:00:03,0.00%,0,$0.00
North Dakota,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
North Dakota,"Jan 1, 2023 - Jun 30, 2023",Without /es/,7,7,7,0.00%,3.86,00:00:03,0.00%,0,$0.00
Alaska,"Jan 1, 2023 - Jun 30, 2023",All Users,6,6,6,0.00%,6,00:01:25,0.00%,0,$0.00
Alaska,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Alaska,"Jan 1, 2023 - Jun 30, 2023",Without /es/,6,6,6,0.00%,6,00:01:25,0.00%,0,$0.00
Total,"Jan 1, 2023 - Jun 30, 2023",All Users,10922,10449,14081,0.15%,5.32,00:01:44,<0.01%,1,$0.00
Total,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,208,145,526,0.00%,18.61,00:12:14,0.00%,0,$0.00
Total,"Jan 1, 2023 - Jun 30, 2023",Without /es/,10782,10304,13555,0.15%,4.81,00:01:19,<0.01%,1,$0.00